"asv_id","System_derep"
"ASV_632","Lagoon"
"ASV_751","Lagoon"
"ASV_940","Lagoon"
"ASV_24","Stream"
"ASV_37","Stream"
"ASV_38","Stream"
"ASV_39","Stream"
"ASV_49","Stream"
"ASV_86","Stream"
"ASV_164","Stream"
"ASV_188","Stream"
"ASV_212","Stream"
"ASV_234","Stream"
"ASV_288","Stream"
"ASV_312","Stream"
"ASV_313","Stream"
"ASV_353","Stream"
"ASV_532","Stream"
"ASV_547","Stream"
"ASV_828","Stream"
"ASV_4","Stream"
"ASV_19","Stream"
"ASV_23","Stream"
"ASV_30","Stream"
"ASV_50","Stream"
"ASV_54","Stream"
"ASV_61","Stream"
"ASV_68","Stream"
"ASV_70","Stream"
"ASV_81","Stream"
"ASV_111","Stream"
"ASV_115","Stream"
"ASV_147","Stream"
"ASV_152","Stream"
"ASV_186","Stream"
"ASV_192","Stream"
"ASV_194","Stream"
"ASV_233","Stream"
"ASV_403","Stream"
"ASV_479","Stream"
"ASV_503","Stream"
"ASV_531","Stream"
"ASV_584","Stream"
"ASV_599","Stream"
"ASV_602","Stream"
"ASV_643","Stream"
"ASV_809","Stream"
"ASV_829","Stream"
"ASV_830","Stream"
"ASV_890","Stream"
"ASV_891","Stream"
"ASV_892","Stream"
"ASV_941","Stream"
"ASV_942","Stream"
"ASV_14","Stream"
"ASV_32","Stream"
"ASV_40","Stream"
"ASV_90","Stream"
"ASV_178","Stream"
"ASV_226","Stream"
"ASV_259","Stream"
"ASV_301","Stream"
"ASV_306","Stream"
"ASV_460","Stream"
"ASV_466","Stream"
"ASV_493","Stream"
"ASV_550","Stream"
"ASV_645","Stream"
"ASV_649","Stream"
"ASV_832","Stream"
"ASV_893","Stream"
"ASV_943","Stream"
"ASV_944","Stream"
"ASV_945","Stream"
"ASV_946","Stream"
"ASV_947","Stream"
"ASV_948","Stream"
"ASV_3","Stream"
"ASV_12","Stream"
"ASV_35","Stream"
"ASV_72","Stream"
"ASV_79","Stream"
"ASV_93","Stream"
"ASV_103","Stream"
"ASV_126","Stream"
"ASV_180","Stream"
"ASV_181","Stream"
"ASV_197","Stream"
"ASV_198","Stream"
"ASV_207","Stream"
"ASV_209","Stream"
"ASV_215","Stream"
"ASV_229","Stream"
"ASV_238","Stream"
"ASV_245","Stream"
"ASV_266","Stream"
"ASV_374","Stream"
"ASV_381","Stream"
"ASV_382","Stream"
"ASV_431","Stream"
"ASV_529","Stream"
"ASV_543","Stream"
"ASV_552","Stream"
"ASV_605","Stream"
"ASV_647","Stream"
"ASV_684","Stream"
"ASV_767","Stream"
"ASV_768","Stream"
"ASV_949","Stream"
"ASV_950","Stream"
"ASV_951","Stream"
"ASV_42","Stream"
"ASV_77","Stream"
"ASV_83","Stream"
"ASV_107","Stream"
"ASV_116","Stream"
"ASV_117","Stream"
"ASV_123","Stream"
"ASV_125","Stream"
"ASV_134","Stream"
"ASV_142","Stream"
"ASV_161","Stream"
"ASV_167","Stream"
"ASV_216","Stream"
"ASV_244","Stream"
"ASV_298","Stream"
"ASV_308","Stream"
"ASV_320","Stream"
"ASV_328","Stream"
"ASV_378","Stream"
"ASV_380","Stream"
"ASV_432","Stream"
"ASV_433","Stream"
"ASV_458","Stream"
"ASV_461","Stream"
"ASV_462","Stream"
"ASV_472","Stream"
"ASV_482","Stream"
"ASV_506","Stream"
"ASV_521","Stream"
"ASV_548","Stream"
"ASV_554","Stream"
"ASV_555","Stream"
"ASV_603","Stream"
"ASV_604","Stream"
"ASV_676","Stream"
"ASV_709","Stream"
"ASV_770","Stream"
"ASV_831","Stream"
"ASV_833","Stream"
"ASV_952","Stream"
"ASV_953","Stream"
"ASV_92","Lagoon"
"ASV_105","Lagoon"
"ASV_168","Lagoon"
"ASV_183","Lagoon"
"ASV_241","Lagoon"
"ASV_267","Lagoon"
"ASV_268","Lagoon"
"ASV_305","Lagoon"
"ASV_314","Lagoon"
"ASV_324","Lagoon"
"ASV_325","Lagoon"
"ASV_326","Lagoon"
"ASV_331","Lagoon"
"ASV_343","Lagoon"
"ASV_348","Lagoon"
"ASV_400","Lagoon"
"ASV_406","Lagoon"
"ASV_418","Lagoon"
"ASV_434","Lagoon"
"ASV_442","Lagoon"
"ASV_514","Lagoon"
"ASV_515","Lagoon"
"ASV_606","Lagoon"
"ASV_607","Lagoon"
"ASV_636","Lagoon"
"ASV_637","Lagoon"
"ASV_641","Lagoon"
"ASV_648","Lagoon"
"ASV_650","Lagoon"
"ASV_651","Lagoon"
"ASV_692","Lagoon"
"ASV_693","Lagoon"
"ASV_694","Lagoon"
"ASV_697","Lagoon"
"ASV_708","Lagoon"
"ASV_710","Lagoon"
"ASV_711","Lagoon"
"ASV_726","Lagoon"
"ASV_748","Lagoon"
"ASV_771","Lagoon"
"ASV_772","Lagoon"
"ASV_773","Lagoon"
"ASV_774","Lagoon"
"ASV_775","Lagoon"
"ASV_835","Lagoon"
"ASV_836","Lagoon"
"ASV_837","Lagoon"
"ASV_838","Lagoon"
"ASV_839","Lagoon"
"ASV_840","Lagoon"
"ASV_841","Lagoon"
"ASV_842","Lagoon"
"ASV_843","Lagoon"
"ASV_844","Lagoon"
"ASV_845","Lagoon"
"ASV_846","Lagoon"
"ASV_847","Lagoon"
"ASV_894","Lagoon"
"ASV_895","Lagoon"
"ASV_896","Lagoon"
"ASV_897","Lagoon"
"ASV_898","Lagoon"
"ASV_899","Lagoon"
"ASV_954","Lagoon"
"ASV_48","Lagoon"
"ASV_56","Lagoon"
"ASV_60","Lagoon"
"ASV_96","Lagoon"
"ASV_97","Lagoon"
"ASV_127","Lagoon"
"ASV_163","Lagoon"
"ASV_169","Lagoon"
"ASV_176","Lagoon"
"ASV_177","Lagoon"
"ASV_208","Lagoon"
"ASV_243","Lagoon"
"ASV_256","Lagoon"
"ASV_263","Lagoon"
"ASV_270","Lagoon"
"ASV_278","Lagoon"
"ASV_327","Lagoon"
"ASV_344","Lagoon"
"ASV_404","Lagoon"
